scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C06-S02,Book 3,6,Chapter 6,2,633,series/books/book-3/phase-8-editing/MANUSCRIPT.md,061e10a0139c377704b4c809ac37e5e6c19bf4f8ea9262c79b2f92439fbf8418,They stepped off the stairs and into the mist.,But the forest was listening. And the forest was hungry.,Jonah Harrow,,morning,B3 forest of textual trees,Jonah Harrow; Margot Vance,Cross the forest while resisting poetic hooks.,"Whispering text, intrusive memories, hunger of the forest.",They use counting and hand contact to resist the poetry's rhythm.,"They continue deeper, but the forest adapts and listens.",They walk through text-covered trees; memories intrude; Margot instructs detachment; Jonah counts steps.,They learn rhythm and physical anchoring can counter the Poetry Section.,Jonah increasingly trusts Margot's methods over instinct or force.,Handholding functions as both emotional and survival anchoring.,None.,The forest will tailor traps to personal wounds.,B3 threat escalates from atmosphere to targeted manipulation.,The partnership promise is reinforced through successful joint coping.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C06-S03,Book 3,6,Chapter 6,3,857,series/books/book-3/phase-8-editing/MANUSCRIPT.md,82e2d41d77424861fdd020c70e7d78aaa1bf57a4a2a805d9180f123247e87100,The mist thickened.,The courtroom exploded.,Jonah Harrow,,,B3 illusionary courtroom within the forest,Jonah Harrow; Margot Vance; illusory accusers,Find Margot and resist a guilt-based poetic trap.,"Isolation, courtroom illusion, Jonah's guilt and fear of judgment.",Margot physically reaches Jonah and tells him to edit out the bad stanza.,The illusion collapses.,Fog separates them; Jonah enters courtroom hallucination; accusations attack his identity; Margot rescues him.,Margot learns Jonah's guilt is a major vulnerability; Jonah learns B3 can separate and rewrite identity.,Jonah's self-control proves insufficient without Margot's intervention.,Margot becomes essential to Jonah's psychological survival.,None.,Jonah's buried guilt and history require later exploration.,B3 weaponizes personal wounds and separation.,The warning that poetry can trap a person receives a severe payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C06-S04,Book 3,6,Chapter 6,4,531,series/books/book-3/phase-8-editing/MANUSCRIPT.md,8b0e0e9c39656d8d9ecd2744f761c464574023cd93dc712417a47135ef6a651d,He was on his knees.,"""Exactly,"" Margot said. ""Keep walking, Sheriff. We're not a tragedy yet.""",Jonah Harrow,,,B3 forest after courtroom trap,Jonah Harrow; Margot Vance,Recover Jonah's identity and continue toward B4.,Residual transformation into text; fog; threat of another cliché trap.,Margot reveals Jonah was literally turning into text.,"They resume walking shoulder to shoulder, using rhythm and contact.",Jonah returns to forest; ink-text recedes from his body; Margot explains Villanelle trap; they continue.,Both learn B3 can physically convert a person into text.,Jonah accepts vulnerability and dependence more fully.,Physical contact becomes a conscious protective strategy.,None.,Further B3 traps and unresolved Jonah guilt.,Arc pressure deepens through literal identity threat.,Margot successfully rescues Jonah from the Villanelle.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C07-S01,Book 3,7,Chapter 7,1,609,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0badbb5e918debcb1d5c5d188e070b695e9ef80e880e234bdb5be563f93b3fa3,**Margot**,"*Join us,* the wind whispered, louder now. *Be perfect. Be forever. The struggle is over.*",Margot Vance,,,B3 Sonnet Glade,Margot Vance; Jonah Harrow; paper effigies,Cross the Sonnet Glade without being cast into an idealized romance narrative.,"Narrative gravity, idealized romance tropes, exhaustion, Jonah's desire for peace.",The Glade creates idealized paper versions of Jonah and Margot and invites them to merge.,The trap identifies Jonah's longing for a perfect ending and begins rewriting Margot's role.,They enter idealized wedding-like landscape; paper doubles appear; the Glade attempts to cast them.,Margot identifies the Glade as a trope-enforcement system that prefers tragic romantic endings.,Margot recognizes the threat is not attraction but imposed perfection.,Their imperfect real bond is contrasted with a false ideal.,Margot's cracked glasses remain with her.,They must reject an idealized romance script to survive.,B3 continues weaponizing emotional expectations.,The warning that B3 tailors traps to personal vulnerabilities is reinforced.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C07-S02,Book 3,7,Chapter 7,2,481,series/books/book-3/phase-8-editing/MANUSCRIPT.md,676d1c35c26a1774e6cb19b5464282771339fc2c8c140e4efe5d0650afa5a75b,"""We have to walk past them,"" Margot said, gripping his arm. ""Just walk past. Don't look at the table. Don't look at the eyes. Focus on the door.""",And she tackled the table.,Margot Vance,,,B3 Sonnet Glade gazebo,Margot Vance; Jonah Harrow; paper effigies,Prevent Jonah from surrendering to the false perfect ending.,"Jonah's exhaustion, atmosphere thickening, clothing and identity being rewritten.",Jonah begins walking toward the paper doubles and Margot decides she must break the genre.,Margot rejects the damsel role and attacks the staged romance.,Jonah is drawn toward paper Margot; Margot's clothes transform; she plans comedic subversion.,Margot learns Jonah's exhaustion and protector fantasy are exploitable weaknesses.,Margot chooses active authorship over passive participation.,Margot becomes protector of Jonah's identity.,None.,Margot must rescue Jonah by subverting narrative expectation.,The Sonnet Glade trap escalates toward identity merger.,None.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C07-S03,Book 3,7,Chapter 7,3,369,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7756674d9ca66649f0c8b0d60f2b25460da9ed6a7ea52f3d9c8b35e0798cc563,"It wasn't a graceful tackle. It wasn't cinematic. It was messy, desperate, and involved a lot of flailing limbs.","""Me too!"" Margot agreed, kicking a statue of Cupid that tried to trip her. ""Non-fiction only from now on!""",Margot Vance,,,B3 Sonnet Glade gazebo,Margot Vance; Jonah Harrow; paper effigies; hostile Glade,Destroy the idealized scene and wake Jonah.,"Narrative inertia, hostile vegetation, paper doubles.",Margot flips the table and decapitates her paper double.,The false scene collapses and Jonah wakes.,Table is destroyed; wine becomes ink; paper Margot is decapitated; Glade attacks.,"They learn farce, reality, and aesthetic disruption can break romance-trope magic.",Jonah recognizes Margot's refusal of perfection as a survival strength.,Margot rescues Jonah by defending their messy real selves.,Ink stains remain on Margot's clothes.,The Glade will retaliate physically.,Margot's agency and anti-idealization arc intensify.,The immediate casting trap is broken.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C07-S04,Book 3,7,Chapter 7,4,293,series/books/book-3/phase-8-editing/MANUSCRIPT.md,045ee9a4bed6f4d3d774150e3dcf2253f42bf55d9aafeb40537db05d1aa8026f,They hit the door together.,"""No. Just history."" She stood up, brushing dust off her skirt. ""And history is much, much heavier.""",Margot Vance,,,Stairwell beyond Sonnet Glade,Margot Vance; Jonah Harrow,Escape B3 and prepare for B4.,Exhaustion and aftermath of the Glade.,Jonah laughs and explicitly recognizes Margot as a survivor.,They descend toward B4 with renewed trust.,They seal out the Glade; decompress; joke about table flip; identify B4 as the Vault.,Jonah learns Margot can defeat narrative magic through analytical subversion.,Jonah's admiration becomes warmer and more personal.,"Their bond is affirmed as imperfect, real, and resilient.",None.,History in B4 will be heavier than poetry.,Quest reaches final descent.,Sonnet Glade escape is complete.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C07-S05,Book 3,7,Chapter 7,5,593,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6ab022b605bb2142d7df0939311855ad2515b4daff007d8a2050270fdc03b0a5,The final descent was long.,"""That the monsters didn't invade Snowfall Creek,"" Margot said, stepping into the Vault. ""The humans invited them. And then... we enslaved them.""",Margot Vance,,,B4 cavern and obsidian Vault,Margot Vance; Jonah Harrow,Enter the Vault and recover the Founding Scrolls.,"Blood-keyed access, Margot's concealed truth, mountain-depth isolation.","Margot admits the Scrolls were hidden, not stolen.",The Vault opens and Margot reveals humans invited and enslaved supernatural beings.,They cross the bridge; Margot uses Keeper blood; admits grandfather hid the Scrolls; reveals founding truth.,Jonah learns Margot lied about theft and the official Integration Treaty is false.,Jonah's understanding of town history and law begins collapsing.,Trust is damaged by Margot's deception even as she reveals the truth.,Margot uses a knife and blood to open the Vault.,The real Integration Treaty will expose institutional enslavement.,Founding-truth and concealed-journal threads converge.,The mystery of why the Scrolls were missing receives a major partial payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C08-S01,Book 3,8,Chapter 8,1,615,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f58648fc479e61040cde64737890972dca26ecf98e7a93ce786a4fe8ddb226ff,**Jonah**,"""Mercenary,"" the man corrected. ""The name is Kael. And I'm afraid your library card has just been revoked.""",Jonah Harrow,,,Inside B4 Vault,Jonah Harrow; Margot Vance; Kael,Understand the real Treaty and recover the Scroll before the purge.,"Betrayal, altered history, approaching purge, armed mercenary.",Kael reveals himself and states he accelerated the Purge Protocol.,The historical revelation becomes an immediate armed confrontation.,Margot explains forged Treaty and supernatural restrictions; Kael appears.,Jonah learns the official Treaty is propaganda and Kael works for the Council.,"Jonah's faith in his father, oath, and town institutions fractures.",Jonah feels betrayed by history and by Margot's withheld knowledge.,The real Scroll is located inside the Vault.,Kael and the Council intend to destroy evidence and witnesses.,Founding conspiracy moves from secret history to active antagonist plot.,The dangerous-truth promise is substantially fulfilled.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C08-S02,Book 3,8,Chapter 8,2,643,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f41eda2ac5bfa98090280047ebb4d5da560b0e0851417ecd0ba145a5174db9ed,"""Get back,"" Jonah barked at Margot, shoving her behind him.","He yanked the rod free, snapped it in half, and then—with a surge of adrenaline that defied physics—he lunged up and sank his teeth into the mage's shoulder.",Jonah Harrow,,,Inside B4 Vault,Jonah Harrow; Margot Vance; Kael,Protect Margot and defeat Kael.,"Kinetic magic, silver weapon, Jonah's injuries.",Jonah catches and breaks the sterling rod despite severe pain.,Jonah bites Kael and gains the advantage.,Kael attacks; Jonah shifts; silver burns him; Jonah breaks rod and bites Kael.,Kael learns Jonah can resist pure sterling under Alpha rage.,Jonah turns ideological devastation into focused protective violence.,Jonah's protection of Margot becomes absolute and public.,Silver rod is seized and broken.,Kael may escape or retaliate.,Antagonist threat becomes physical.,Jonah's Alpha capability receives a combat payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
